Product,Projected Pillar,pricingdate,Validated Value Projected CV,Outlier,is Auction Date
future,10Y,12/13/2025,91.4994,0.0,1
irdswap,1W,2/27/2024,21.6185,,1
future,3M,5/3/2025,4.4194,0.0,0
future,25Y,6/11/2024,62.1476,0.0,1
bond,50Y,2/27/2024,9.3119,0.0,0
bond,25Y,2/12/2023,24.5054,0.0,1
irdswap,1Y,3/2/2025,37.9771,,0
bond,25Y,3/2/2024,58.4235,0.0,0
future,1Y,10/19/2025,35.8902,0.0,0
future,50Y,11/13/2024,38.0551,1.0,0
bond,15Y,3/18/2024,4.3863,0.0,0
irdswap,1M,10/30/2025,3.9307,,0
irdswap,25Y,10/30/2025,54.4764,,1
future,15Y,4/28/2025,32.0263,0.0,0
future,1M,3/2/2024,13.0251,0.0,0
irdswap,2Y,11/13/2024,15.7361,,0
future,1M,7/5/2023,51.5265,0.0,0
irdswap,40Y,10/27/2023,11.3871,,0
irdswap,10Y,12/21/2025,52.2741,,0
future,10Y,9/14/2023,9.1021,0.0,1
bond,40Y,4/6/2024,18.0406,0.0,0
bond,25Y,11/13/2024,62.4601,0.0,1
bond,1Y,5/3/2025,50.8481,0.0,0
irdswap,25Y,12/12/2023,81.6056,,0
irdswap,10Y,11/19/2024,25.8123,,0
bond,1M,5/5/2024,93.3491,0.0,0
future,3M,11/4/2023,31.4515,0.0,1
future,40Y,6/3/2023,10.6645,0.0,1
bond,1M,2/12/2023,61.4853,0.0,1
irdswap,1W,11/10/2025,91.9824,,0
irdswap,1W,12/28/2023,90.567,,1
future,20Y,12/14/2025,99.1258,0.0,1
irdswap,1W,10/13/2024,86.5446,,1
irdswap,30Y,1/22/2025,48.6279,,1
future,10Y,12/21/2025,21.4088,0.0,1
irdswap,3M,5/30/2024,37.214,,0
irdswap,15Y,8/9/2025,19.5377,,1
future,40Y,4/18/2024,83.1316,0.0,1
bond,2Y,2/27/2024,34.5835,0.0,0
irdswap,15Y,6/7/2023,29.8061,,0
future,1W,2/27/2024,56.0479,0.0,1
bond,1W,11/5/2024,51.9425,0.0,0
future,2Y,6/22/2024,61.3086,0.0,1
bond,50Y,1/1/2023,23.045,0.0,1
irdswap,1M,6/16/2023,93.2305,,1
future,15Y,6/15/2025,66.6454,0.0,0
irdswap,1Y,1/22/2024,97.8956,,1
irdswap,100Y,8/29/2025,31.1991,,0
irdswap,1Y,1/26/2023,4.4636,,0
future,20Y,11/1/2025,19.8902,0.0,0
irdswap,25Y,11/1/2025,86.8972,,0
irdswap,100Y,11/19/2024,19.3637,,0
bond,1Y,6/15/2025,17.7634,0.0,1
irdswap,20Y,1/22/2024,25.2449,,1
future,1Y,8/18/2024,26.5129,0.0,0
irdswap,50Y,7/12/2025,79.2661,,0
bond,20Y,10/30/2025,49.6276,0.0,1
irdswap,40Y,2/2/2023,40.3934,,1
irdswap,1Y,5/6/2024,81.0286,,1
irdswap,20Y,6/17/2025,92.8281,,1
bond,1Y,4/4/2025,34.985,0.0,1
irdswap,3M,8/12/2024,11.6332,,1
irdswap,1Y,1/22/2025,84.6404,,1
irdswap,1W,7/13/2024,37.3443,,1
future,30Y,12/13/2025,95.6845,0.0,0
irdswap,40Y,6/15/2025,41.5963,,0
irdswap,1W,11/9/2023,97.8147,,1
irdswap,100Y,8/24/2024,44.9637,,0
irdswap,2Y,2/26/2025,93.2812,,0
irdswap,100Y,7/1/2024,81.7238,,1
irdswap,1M,11/9/2023,95.7637,,1
bond,1Y,9/14/2023,86.5094,0.0,1
bond,2Y,2/19/2023,34.9079,0.0,0
bond,40Y,2/18/2024,45.5713,0.0,0
irdswap,1Y,6/11/2024,89.6736,,0
future,1M,12/31/2024,58.6594,0.0,1
bond,3M,7/29/2024,78.446,0.0,1
future,2Y,7/29/2024,22.0785,0.0,0
bond,25Y,7/30/2024,54.1842,0.0,1
irdswap,2Y,4/25/2023,55.8068,,1
future,50Y,9/29/2024,25.0279,0.0,1
future,10Y,7/11/2023,80.5138,0.0,0
irdswap,30Y,5/6/2024,47.3351,,1
bond,10Y,12/30/2024,94.8279,0.0,1
irdswap,1W,1/12/2025,87.3276,,1
irdswap,20Y,6/17/2023,87.7707,,0
irdswap,30Y,9/22/2024,89.3117,,0
bond,1W,12/13/2025,97.0264,0.0,0
future,20Y,6/16/2023,99.5469,0.0,1
bond,20Y,2/16/2023,67.3433,0.0,0
irdswap,40Y,6/9/2024,10.109,,0
future,20Y,10/3/2023,45.5994,1.0,0
future,30Y,12/3/2024,2.8193,0.0,0
irdswap,30Y,11/13/2024,78.2141,,0
future,30Y,6/19/2025,76.3886,0.0,0
irdswap,100Y,10/21/2025,26.6774,,0
bond,10Y,11/20/2025,66.458,0.0,1
future,2Y,8/23/2024,99.0989,0.0,1
irdswap,2Y,7/29/2024,81.2358,,0
irdswap,3M,12/7/2024,16.4978,,1
future,40Y,1/6/2023,47.7809,0.0,1
bond,1W,4/6/2024,38.9962,0.0,0
bond,50Y,12/1/2024,33.3158,0.0,1
bond,40Y,7/1/2024,91.4045,0.0,1
future,1M,7/12/2025,34.0003,0.0,0
future,3M,3/14/2024,19.7253,0.0,0
irdswap,40Y,12/13/2025,47.6981,,1
bond,1Y,4/16/2023,79.8029,0.0,1
future,30Y,10/26/2025,26.1172,0.0,1
future,1M,10/19/2023,11.6164,0.0,0
future,25Y,10/11/2025,45.0559,0.0,0
bond,15Y,8/28/2023,88.3534,0.0,0
future,20Y,7/1/2023,58.5775,1.0,0
irdswap,10Y,10/30/2025,95.7971,,1
bond,1Y,4/10/2025,27.2896,0.0,0
future,3M,4/26/2024,27.1608,0.0,1
future,30Y,10/19/2025,12.4388,0.0,0
irdswap,25Y,4/20/2023,84.0226,,0
irdswap,1M,8/12/2024,41.7782,,1
bond,1W,4/20/2024,42.027,0.0,0
bond,3M,1/26/2025,82.3123,0.0,0
future,15Y,6/2/2023,53.334,0.0,1
bond,1W,11/4/2023,78.884,0.0,1
future,20Y,11/20/2025,75.3167,0.0,1
bond,1W,1/3/2025,82.5258,0.0,1
future,20Y,7/6/2025,18.9994,0.0,0
future,40Y,5/30/2024,64.7875,0.0,1
irdswap,1W,6/22/2024,71.1271,,1
irdswap,1M,5/30/2024,41.5076,,0
future,100Y,2/9/2023,17.14,0.0,1
bond,1M,12/14/2025,59.9259,0.0,1
irdswap,1W,8/18/2024,12.2703,,0
bond,1M,11/14/2023,72.059,0.0,0
future,15Y,8/28/2023,56.5655,1.0,0
future,20Y,5/14/2023,55.1139,1.0,1
bond,2Y,3/16/2024,94.8592,0.0,0
future,25Y,10/30/2025,69.2639,0.0,0
irdswap,3M,3/21/2024,1.2789,,0
future,1W,7/15/2024,95.3073,0.0,1
future,40Y,3/23/2023,29.6237,0.0,0
bond,100Y,9/14/2023,2.6801,0.0,1
irdswap,20Y,11/9/2023,75.5834,,1
irdswap,1W,1/3/2025,70.3038,,0
bond,20Y,11/4/2023,4.9079,0.0,1
irdswap,1M,6/12/2023,22.6352,,0
irdswap,100Y,12/21/2023,70.0363,,0
bond,1W,1/20/2024,59.9645,0.0,1
future,10Y,7/12/2025,11.2197,1.0,0
future,50Y,12/21/2023,89.7955,0.0,1
irdswap,1Y,2/14/2024,76.0012,,0
bond,40Y,7/6/2025,81.6938,0.0,1
bond,50Y,12/28/2023,4.9224,0.0,1
irdswap,3M,7/5/2023,68.1233,,0
irdswap,100Y,8/19/2024,55.335,,1
irdswap,100Y,6/16/2025,64.1538,,1
bond,25Y,7/12/2025,8.3945,0.0,1
future,1Y,6/3/2023,13.5189,0.0,0
irdswap,40Y,12/15/2023,51.831,,0
future,15Y,1/17/2024,48.2489,0.0,0
bond,10Y,4/25/2025,3.626,0.0,0
irdswap,20Y,8/29/2025,37.545,,0
future,10Y,4/28/2025,21.4216,0.0,0
bond,3M,8/28/2023,20.3132,0.0,0
bond,1Y,4/18/2024,17.2863,0.0,0
bond,1M,2/18/2024,29.4922,0.0,1
bond,40Y,11/15/2023,66.6447,0.0,1
irdswap,100Y,8/23/2024,82.558,,0
bond,100Y,1/3/2025,33.1108,0.0,0
irdswap,50Y,9/21/2025,41.9867,,1
irdswap,3M,1/20/2024,63.9169,,1
irdswap,1M,11/10/2025,36.8665,,0
bond,1M,7/12/2025,54.7895,1.0,1
irdswap,40Y,10/23/2025,51.8213,,0
irdswap,30Y,1/26/2025,55.2207,,0
irdswap,15Y,7/20/2023,68.4957,,0
irdswap,1M,7/13/2024,28.623,,1
irdswap,1Y,6/10/2024,63.6739,,0
irdswap,100Y,2/24/2025,35.6522,,0
bond,2Y,11/10/2025,3.4242,0.0,1
bond,15Y,7/20/2023,34.8445,0.0,0
bond,2Y,10/26/2025,7.006,0.0,1
future,3M,8/24/2024,92.1502,0.0,1
irdswap,25Y,10/3/2023,94.1445,,1
irdswap,25Y,11/25/2025,53.4845,,1
irdswap,40Y,11/16/2024,34.7656,,1
bond,25Y,3/11/2023,21.601,0.0,1
future,30Y,8/6/2024,11.9848,0.0,0
future,1W,8/9/2025,35.7849,0.0,1
bond,3M,3/21/2024,42.4482,0.0,1
future,1M,1/20/2025,78.1909,0.0,1
future,30Y,9/5/2025,15.0737,0.0,0
future,3M,5/5/2024,83.5947,0.0,1
irdswap,3M,6/22/2024,39.2846,,1
future,20Y,6/3/2024,30.2291,0.0,0
irdswap,10Y,3/8/2025,51.746,,0
irdswap,100Y,11/20/2025,18.1423,,0
future,1Y,12/24/2024,25.068,0.0,0
bond,40Y,4/18/2024,25.107,0.0,0
bond,1Y,12/21/2025,87.0459,0.0,0
future,3M,5/24/2025,76.901,0.0,1
irdswap,2Y,11/4/2023,12.4075,,1
future,50Y,6/16/2025,85.617,0.0,0
bond,3M,12/9/2025,5.7431,0.0,1
bond,1M,7/17/2025,56.7311,0.0,1
future,3M,7/6/2025,75.2904,0.0,0
future,2Y,4/11/2023,92.4543,0.0,0
irdswap,1M,3/21/2024,85.5795,,0
bond,3M,12/31/2024,21.6405,0.0,0
bond,10Y,1/26/2025,99.4307,0.0,0
future,25Y,9/29/2024,53.8654,0.0,1
bond,3M,10/24/2023,36.271,0.0,0
future,2Y,10/19/2023,98.5164,0.0,1
irdswap,1W,11/13/2024,44.9429,,0
future,40Y,10/4/2025,40.3089,1.0,1
bond,10Y,10/26/2025,35.487,0.0,0
bond,3M,3/23/2023,36.702,1.0,0
irdswap,30Y,12/24/2024,34.4361,,0
future,50Y,1/1/2023,86.5852,0.0,1
bond,3M,7/20/2023,91.7063,0.0,1
future,20Y,8/26/2024,67.6143,0.0,1
future,1W,3/10/2023,15.9678,0.0,1
bond,15Y,12/28/2023,80.4598,1.0,0
irdswap,15Y,10/30/2024,64.3473,,0
future,2Y,10/19/2025,14.7469,1.0,1
irdswap,50Y,1/18/2023,26.184,,0
bond,25Y,10/30/2024,62.495,0.0,1
bond,1Y,7/29/2024,71.1942,0.0,1
future,1W,2/2/2023,57.2925,0.0,0
future,1Y,4/28/2025,20.6917,1.0,0
irdswap,1Y,12/17/2023,68.2681,,0
future,10Y,1/22/2024,3.7966,0.0,1
bond,40Y,12/22/2024,4.0477,0.0,0
future,40Y,5/5/2023,47.9625,1.0,0
future,10Y,4/6/2024,44.299,0.0,0
irdswap,20Y,3/8/2025,29.8825,,0
bond,20Y,7/28/2024,32.2993,0.0,0
future,30Y,8/19/2024,1.2228,0.0,1
bond,20Y,8/24/2024,44.744,0.0,0
future,1W,11/14/2023,75.0945,0.0,1
irdswap,100Y,10/24/2023,84.2224,,0
irdswap,3M,1/31/2024,12.0179,,0
future,40Y,11/14/2023,21.545,0.0,1
future,25Y,6/19/2025,98.7492,0.0,0
